Altium Designer Pick and Place Locations
D:\hamed\project\altium\remote-38k-6key\Pick Place for remote-38k-6key-v2.csv

========================================================================================================================
File Design Information:

Date:       30/07/26
Time:       13:42
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Description"
"U3","ATtiny15L-1SC","TopLayer","8S2_N","28.0670","6.6040","28.0670","6.6040","31.4670","4.6990","180","8-Bit AVR Microcontroller with 1K Byte of Flash Memory"
"J2","Header3X1","TopLayer","HEADER_3X1","35.3060","13.5890","35.3060","11.0490","35.3060","11.0490","90",""
"R1","5.6k","TopLayer","RES_1206_(3216X08L)","29.1465","11.4300","29.3370","11.4300","27.3050","11.4300","0","Resistor"
"R2","200k","TopLayer","RES_1206_(3216X08L)","23.6220","11.4300","23.6220","11.4300","22.3520","11.4300","0","Resistor"
"R3","510","TopLayer","RES_1206_(3216X08L)","23.6246","23.3680","23.6220","23.3680","22.3266","23.3680","0","Resistor"
"R4","510","TopLayer","RES_1206_(3216X08L)","23.6246","20.7010","23.6220","20.7010","22.3266","20.7010","0","Resistor"
"C2","100nf","TopLayer","CAP_1206","29.2380","14.6050","29.4640","14.6050","27.6860","14.6050","0","Capacitor"
"c10","33nf","TopLayer","RES_1206_(3216X08L)","35.5600","5.3340","35.5600","5.3340","34.2900","5.3340","0","Resistor"
"Designator95_2","Comment","TopLayer","PAD","-83.9470","-114.9350","-38.8180","-8.8230","-83.9470","-114.9350","270",""
"Designator95_2","Comment","TopLayer","PAD","-83.9470","-114.9350","-38.8180","-8.8230","-83.9470","-114.9350","270",""
